freq_per_A,resolution_A,P6_b4_vs_P7_b4,P6_b4_vs_P8_b4,P7_b4_vs_P8_b4
0.31627,3.16,0.9906,0.9908,0.9998
0.32003,3.12,0.9941,0.9942,0.9999
0.32380,3.09,0.9963,0.9964,0.9999
0.32756,3.05,0.9975,0.9976,1.0000
0.33133,3.02,0.9979,0.9979,1.0000
0.33509,2.98,0.9978,0.9978,1.0000
0.33886,2.95,0.9974,0.9975,1.0000
0.34262,2.92,0.9970,0.9971,0.9999
0.34639,2.89,0.9967,0.9967,0.9999
0.35015,2.86,0.9966,0.9966,0.9999
0.35392,2.83,0.9965,0.9966,0.9999
0.35768,2.80,0.9968,0.9968,0.9999
0.36145,2.77,0.9971,0.9971,1.0000
0.36521,2.74,0.9976,0.9976,1.0000
0.36898,2.71,0.9980,0.9980,1.0000
0.37274,2.68,0.9984,0.9984,1.0000
0.37651,2.66,0.9987,0.9987,1.0000
0.38027,2.63,0.9988,0.9989,1.0000
0.38404,2.60,0.9989,0.9989,1.0000
0.38780,2.58,0.9988,0.9988,1.0000
0.39157,2.55,0.9987,0.9987,1.0000
0.39533,2.53,0.9986,0.9986,1.0000
0.39910,2.51,0.9985,0.9985,1.0000
0.40286,2.48,0.9984,0.9984,1.0000
0.40663,2.46,0.9984,0.9984,1.0000
0.41039,2.44,0.9984,0.9985,1.0000
0.41416,2.41,0.9986,0.9986,1.0000
0.41792,2.39,0.9987,0.9987,1.0000
0.42169,2.37,0.9989,0.9989,1.0000
0.42545,2.35,0.9990,0.9990,1.0000
0.42922,2.33,0.9991,0.9991,1.0000
0.43298,2.31,0.9992,0.9992,1.0000
0.43675,2.29,0.9992,0.9992,1.0000
0.44051,2.27,0.9992,0.9992,1.0000
0.44428,2.25,0.9991,0.9991,1.0000
0.44804,2.23,0.9990,0.9991,1.0000
0.45181,2.21,0.9990,0.9990,1.0000
0.45557,2.20,0.9990,0.9990,1.0000
0.45934,2.18,0.9990,0.9990,1.0000
0.46310,2.16,0.9990,0.9990,1.0000
0.46687,2.14,0.9990,0.9990,1.0000
0.47063,2.12,0.9991,0.9991,1.0000
0.47440,2.11,0.9992,0.9992,1.0000
0.47816,2.09,0.9992,0.9992,1.0000
0.48193,2.08,0.9993,0.9993,1.0000
0.48569,2.06,0.9993,0.9993,1.0000
0.48946,2.04,0.9993,0.9994,1.0000
0.49322,2.03,0.9993,0.9993,1.0000
0.49699,2.01,0.9993,0.9993,1.0000
0.50075,2.00,0.9993,0.9993,1.0000
0.50452,1.98,0.9992,0.9993,1.0000
0.50828,1.97,0.9992,0.9992,1.0000
0.51205,1.95,0.9992,0.9992,1.0000
0.51581,1.94,0.9992,0.9992,1.0000
0.51958,1.92,0.9992,0.9993,1.0000
0.52334,1.91,0.9993,0.9993,1.0000
0.52711,1.90,0.9993,0.9993,1.0000
0.53087,1.88,0.9994,0.9994,1.0000
0.53464,1.87,0.9994,0.9994,1.0000
0.53840,1.86,0.9994,0.9994,1.0000
0.54217,1.84,0.9994,0.9994,1.0000
0.54593,1.83,0.9994,0.9994,1.0000
0.54970,1.82,0.9994,0.9994,1.0000
0.55346,1.81,0.9994,0.9994,1.0000
0.55723,1.79,0.9994,0.9994,1.0000
0.56099,1.78,0.9994,0.9994,1.0000
0.56476,1.77,0.9994,0.9994,1.0000
0.56852,1.76,0.9994,0.9994,1.0000
0.57229,1.75,0.9994,0.9994,1.0000
0.57605,1.74,0.9994,0.9994,1.0000
0.57982,1.72,0.9994,0.9994,1.0000
0.58358,1.71,0.9994,0.9995,1.0000
0.58735,1.70,0.9995,0.9995,1.0000
0.59111,1.69,0.9995,0.9995,1.0000
0.59488,1.68,0.9995,0.9995,1.0000
0.59864,1.67,0.9995,0.9995,1.0000
