uid,class,weight
1368917991669653577,P6,1.0
16659594954410503041,P6,1.0
1917116396825394719,P6,1.0
17948224638893191571,P6,0.9999613165855408
9481007276932793706,P6,0.999220609664917
14641638750200149927,P6,0.9999967813491821
2720823545376461611,P6,1.0
7103696670733046399,P6,0.9999973773956299
17496043200283462916,P6,1.0
8551597897195536528,P6,0.9999997615814209
3130040797579250608,P6,1.0
12401648706677266493,P6,1.0
2812303901520190783,P6,1.0
12199804243266152910,P6,1.0
7636360398813166674,P6,1.0
13659360154756761684,P6,1.0
12054601812289332025,P6,0.9999982118606567
2912824771294907301,P6,0.9999993443489075
15792581521010626416,P6,1.0
12964961303066425250,P6,1.0
5857710401778084931,P6,0.9999999403953552
7393640509003133954,P6,1.0
481865364799449413,P6,1.0
2412485391025631369,P6,0.9999999403953552
13105729399264859921,P6,1.0
16358282297474920384,P6,1.0
3391448775346840011,P6,1.0
7806920224165762150,P6,0.9999598264694214
2333322181919371705,P6,0.9997290968894958
8082090298500064164,P6,1.0
15179966799007732237,P6,0.9999999403953552
7416352144423664784,P6,0.9999998211860657
16683339153429192601,P6,1.0
7528850601061119907,P6,0.9999937415122986
14515371522519871423,P6,1.0
13003220728815870788,P6,0.9999958276748657
624679376773309797,P6,1.0
8504467154458112673,P6,0.9999967217445374
3679940925985941107,P6,1.0
18289351256070909769,P6,1.0
8034456893591758157,P6,0.9999995231628418
860164262336358675,P6,0.9999356269836426
5301294352956800324,P6,1.0
16807694763619361878,P6,1.0
11175905266233836332,P6,1.0
10756969444968968304,P6,0.9999544620513916
15180908016960683754,P6,1.0
7870419857323494485,P6,0.9981862306594849
14119361936710714763,P6,0.9999977946281433
7313297361925695444,P6,1.0
16186961912362808667,P6,0.9998708367347717
5331499054543468349,P6,1.0
8760629675301721267,P6,1.0
4188733030627403522,P6,0.9995063543319702
8507133859028641293,P6,0.9999999403953552
3191928153283223921,P6,1.0
2291313639997370072,P6,1.0
18346638621583451893,P6,0.999999463558197
14357374582519354643,P6,0.999999463558197
10964821217025600072,P6,1.0
8523337110157533018,P6,0.9998299479484558
15924497568931162666,P6,0.9999936819076538
16642115611572374513,P6,1.0
922351468019233626,P6,0.9999983310699463
1646239567323660809,P6,1.0
9304091672842177825,P6,1.0
10055159208074003556,P6,1.0
9455223378784199503,P6,0.9987232685089111
3658178275894647030,P6,0.9999998211860657
12760070159895850845,P6,1.0
8955870980819233609,P6,1.0
15025985444223974013,P6,0.9999707341194153
15064504374004745913,P6,0.9999064207077026
5423012917396241230,P6,1.0
10117331370688186462,P6,1.0
8304581722949481739,P6,0.9999067187309265
4086937687361086228,P6,1.0
12106991012191847697,P6,0.9998435378074646
12802437872894486609,P6,1.0
14520368188930908242,P6,1.0
15332314159888472447,P6,1.0
12491934542148669322,P6,1.0
13549257644254390029,P6,1.0
9045016522767529467,P6,0.9996236562728882
5514251419741177531,P6,0.9999990463256836
6937127828170136992,P6,1.0
8483963378443773140,P6,1.0
12335403568871373781,P6,0.9999999403953552
8896939557194242112,P6,0.9999992251396179
6065104817076281894,P6,0.9999992847442627
16761461462228972865,P6,1.0
12749692064982599044,P6,1.0
744058291228822314,P6,0.9988129734992981
10163054968566706727,P6,1.0
9697623972355990210,P6,0.9999771118164062
3710487425607121759,P6,1.0
8524681790913585747,P6,1.0
16473932414955451636,P6,1.0
3572981642351637141,P6,1.0
2086640779580292895,P6,0.9999899864196777
17155223146388927398,P6,0.9999951720237732
8362809314896543545,P6,1.0
2030373979995109360,P6,1.0
12541998981827654870,P6,1.0
3926801388814210242,P6,0.9999973773956299
1532245776065717163,P6,0.9999998807907104
10270599737561290081,P6,1.0
9086445124525247171,P6,1.0
15576199954780364273,P6,1.0
15122489749557468924,P6,1.0
4731102631573983287,P6,1.0
4819370984177407976,P6,0.9999998211860657
17792048736487666372,P6,1.0
14438840268623146272,P6,1.0
9705819856398342865,P6,0.9999992847442627
11628731717852627910,P6,1.0
1379600470733967636,P6,1.0
11342089671007554058,P6,0.9998531937599182
4683371220374081490,P6,1.0
520199346782922651,P6,0.9840418100357056
14029098637883131766,P6,0.999860405921936
13308398199312290713,P6,1.0
5866035988404729524,P6,1.0
2888708020887266257,P6,1.0
13567313368407211842,P6,1.0
8072912805019421841,P6,1.0
11989645629285372100,P6,0.9999885559082031
11558118741965305127,P6,0.9999998807907104
3907919182220894422,P6,1.0
5857995671733843170,P6,1.0
14396556690201457571,P6,1.0
5903827030161037629,P6,0.9999992847442627
1219994394349216580,P6,0.9833709597587585
1462231996820572656,P6,1.0
1642267432120535196,P6,0.9999978542327881
2167967917308745990,P6,0.9999999403953552
11488718301667401965,P6,1.0
3023862163155372010,P6,1.0
5572907141476497693,P6,1.0
1216251719333251621,P6,1.0
16044681700060861976,P6,0.9999879002571106
2875135399201437252,P6,1.0
13288449534683584194,P6,0.999998927116394
2869755513154024791,P6,1.0
8211781211120416754,P6,1.0
9502686284027115967,P6,0.9999414682388306
15270998200873361253,P6,0.9999999403953552
3119460690513123993,P6,1.0
949345506502648777,P6,1.0
3169455496343352028,P6,0.9999912977218628
2726572365589066022,P6,0.9999977350234985
17150182119632601699,P6,0.9999977350234985
15750314949948404449,P6,0.9999999403953552
3942544083730138331,P6,1.0
7330176005321887464,P6,0.9999999403953552
